class,subclass,r_id,r_name,classification_notes,additional_info,link
Association,Diagnostic,Finding site of,Finding site of (SNOMED),Links diagnostic evidence or tests to a clinical concept/state. Example: [Entire right fibula] -> [Longitudinal deficiency of bilateral fibulae],Specifies the body site affected by a condition.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#finding-site
Attribute,Anatomical,Has asso morph,Has associated morphology (SNOMED),Defines a physical/structural abnormality at the cellular or tissue level. Example: [Neoplasm of uncertain behavior of larynx] -> [Neoplasm of uncertain behavior],specifies the morphologic changes seen at the tissue or cellular level that are characteristic of a disease.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#associated-morphology
Association,Administrative,Has asso visit,Has associated visit (OMOP),"Operational link for system billing, metadata, dictionaries, or encounter tracking. Example: [Remote physiologic monitoring treatment management services, clinical staff/physician/other qualified health care professional time in a calendar month requiring interactive communication with the patient/caregiver during the month; each additional 20...] -> [Telehealth Provided Other than in Patient’s Home]",,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-HCPCS#hcpcs-to-visit-relationships
Attribute,Temporal,Has dev intend site,Has device intended site (SNOMED),"Qualifies clinical events by their timing, sequence, or duration. Example: [Neonatal indwelling urethral drainage catheter] -> [Structure of genitourinary system]",Represents the site where the device is intended to reside in or on the body.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/physical-object/physical-object-defining-attributes#has-device-intended-site
Attribute,Anatomical,Has dir morph,Has direct morphology (SNOMED),Defines a physical/structural abnormality at the cellular or tissue level. Example: [Primary open reduction of fracture of short bone and fixation using screw] -> [Fracture],Direct morphology (attribute) describes the morphologically abnormal structure that is the direct object of the Method action.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#direct-morphology
Association,Diagnostic,Has dir proc site,Has direct procedure site (SNOMED),"Links evidence, tests, variants, or clinical findings to support diagnostic reasoning. Example: [Tc-99 MIBI (technetium 99m methoxyisobutylisonitrile) parathyroid subtraction study] -> [Parathyroid structure]","is used when the action of the procedure is directly aimed at anatomical or acquired body structure or site, rather than something else located there",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#procedure-site-direct
Attribute,Anatomical,Has direct site,Has direct site (SNOMED),"Spatial qualifier describing location, morphology, or extent. Example: [Length of primary malignant neoplasm of prostate in resected prostate specimen] -> [Resected prostate specimen]",,
Association,Diagnostic,Has finding site,Has finding site (SNOMED),Links diagnostic evidence or tests to a clinical concept/state. Example: [Neoplasm of uncertain behavior of larynx] -> [Laryngeal structure],,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#finding-site
Attribute,Anatomical,Has indir morph,Has indirect morphology (SNOMED),Defines a physical/structural abnormality at the cellular or tissue level. Example: [Drainage of abscess using computed tomography guidance] -> [Abscess morphology],,
Association,Diagnostic,Has indir proc site,Has indirect procedure site (SNOMED),"Links evidence, tests, variants, or clinical findings to support diagnostic reasoning. Example: [Total removal of prosthetic material from previous repair of vaginal prolapse] -> [Vaginal structure]",,
Attribute,Temporal,Has intended site,Has dose form intended site (SNOMED),"Qualifies clinical events by their timing, sequence, or duration. Example: [Conventional release oral pellets in capsule] -> [Oral]",,
Attribute,Anatomical,Has morphology,Has Morphology (SNOMED),Defines a physical/structural abnormality at the cellular or tissue level.,,
Attribute,Anatomical,Has proc morph,Has procedure morphology (SNOMED),Defines a physical/structural abnormality at the cellular or tissue level. Example: [Endovenous mechanochemical ablation of varicose vein of lower limb] -> [Varix],"Procedure morphology (attribute) is used to specify the morphology, or abnormal structure, involved in a procedure. It is used when defining general concepts that subsume direct and indirect morphology. It subsumes the more specific attributes, Direct and Indirect Morphology. These should be used, if possible.

",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#procedure-morphology
Association,Diagnostic,Has proc site,Has procedure site (SNOMED),"Links evidence, tests, variants, or clinical findings to support diagnostic reasoning. Example: [Introduction of vaginal tape] -> [Vaginal structure]",,
Attribute,Anatomical,Has specimen morph,Has specimen source morphology (SNOMED),Defines a physical/structural abnormality at the cellular or tissue level. Example: [Swab from bite wound] -> [Bite wound],Specifies the morphologic abnormality from which a specimen is obtained.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/specimen/specimen-defining-attributes#specimen-source-morphology
Attribute,Anatomical,Indir morph of,Indirect morphology of (SNOMED),Defines a physical/structural abnormality at the cellular or tissue level. Example: [Cyst] -> [Aspiration of cyst of thyroid using ultrasonographic guidance],,
Association,Diagnostic,Indir proc site of,Indirect procedure site of (SNOMED),"Links evidence, tests, variants, or clinical findings to support diagnostic reasoning. Example: [Vertebral column region] -> [Insertion of neurostimulator electrodes into the spinal cord]","specifies the anatomical location but is not the direct focus of the procedure. The direct object of the action may be a device, a substance, or a morphologic abnormality that is not a part of the tissue structure of the anatomical site in which it is located, such as a calculus, thrombus, or foreign body.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#procedure-site-indirect
Attribute,Temporal,Intended site of,Dose form intended site of (SNOMED),"Qualifies clinical events by their timing, sequence, or duration. Example: [Intravitreal] -> [Prolonged-release intravitreal implant]",,
Attribute,Anatomical,Morphology of,Morphology of (SNOMED),Defines a physical/structural abnormality at the cellular or tissue level.,,
Attribute,Anatomical,Proc morph of,Procedure morphology of (SNOMED),Defines a physical/structural abnormality at the cellular or tissue level. Example: [Cyst] -> [Operation on cyst of epididymis],"Procedure morphology (attribute) is used to specify the morphology, or abnormal structure, involved in a procedure. It is used when defining general concepts that subsume direct and indirect morphology. It subsumes the more specific attributes, Direct and Indirect Morphology. These should be used, if possible.

",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#procedure-morphology
Association,Diagnostic,Proc site of,Procedure site of (SNOMED),"Links evidence, tests, variants, or clinical findings to support diagnostic reasoning. Example: [Vertebral column region] -> [Implantation of intrathecal drug delivery device adjacent to spinal cord]",,
Association,Administrative,Question source of,Question source of,"Operational link for system billing, metadata, dictionaries, or encounter tracking. Example: [RAND American Life Panel] -> [Do you have a child(ren) that are currently enrolled in childcare centers, schools, or colleges?]",,
Attribute,Anatomical,Specimen morph of,Specimen source morphology of (SNOMED),Defines a physical/structural abnormality at the cellular or tissue level. Example: [Peritoneal dialysis catheter insertion site] -> [Body fluid specimen from peritoneal dialysis insertion site],Specifies the morphologic abnormality from which a specimen is obtained.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/specimen/specimen-defining-attributes#specimen-source-morphology
Attribute,Anatomical,Has laterality,Has laterality (SNOMED),"Spatial qualifier describing location, morphology, or extent. Example: [Structure of flexor A4 pulley of index finger] -> [Side]",,
Attribute,Clinical,Has severity,Has severity (SNOMED),"Qualifies clinical states, statuses (e.g., severity, intent, prescribing status), or general clinical indicators. Example: [Recurrent severe manic episodes] -> [Severe]",,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#severity
Attribute,Clinical,Has stage,Has Stage (SNOMED),"Qualifies clinical states, statuses (e.g., severity, intent, prescribing status), or general clinical indicators. Example: [Chronic kidney disease stage V] -> [Stage level 5]",,
Attribute,Anatomical,Laterality of,Laterality of (SNOMED),"Spatial qualifier describing location, morphology, or extent. Example: [Unilateral] -> [Harlequin syndrome]",,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Attribute,Clinical,Severity of,Severity of (SNOMED),"Qualifies clinical states, statuses (e.g., severity, intent, prescribing status), or general clinical indicators. Example: [Mild] -> [Mild thinness in adults]",,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Attribute,Clinical,Stage of,Stage of (SNOMED),"Qualifies clinical states, statuses (e.g., severity, intent, prescribing status), or general clinical indicators. Example: [Stage level 2] -> [Chronic kidney disease stage II]",,
Attribute,Context,Context of,Context of (HemOnc),Specific situational modifier or contextual role. Example: [Perioperative therapy] -> [Capecitabine and Cisplatin (CX)],,
Attribute,Context,Finding context of,Finding context of (SNOMED),Contextual modifier for a clinical finding. Example: [Known] -> [Family grieving],,
Attribute,Context,Has context,Has context (HemOnc),Specific situational modifier or contextual role. Example: [AC-D] -> [Neoadjuvant therapy],,https://hemonc.org/wiki/HemOncKB_canonical_triples
Attribute,Context,Has finding context,Has finding context (SNOMED),Contextual modifier for a clinical finding. Example: [Elevated blood-pressure reading without diagnosis of hypertension] -> [Known present],,
Association,Diagnostic,Has proc context,Has procedure context (SNOMED),"Links evidence, tests, variants, or clinical findings to support diagnostic reasoning. Example: [Counselled by health visitor] -> [Done]",,
Attribute,Context,Has relat context,Has subject relationship context (SNOMED),Specific situational modifier or contextual role. Example: [Elevated blood-pressure reading without diagnosis of hypertension] -> [Subject of record],,
Attribute,Temporal,Has temporal context,Has temporal context (SNOMED),"Qualifies clinical events by their timing, sequence, or duration. Example: [Elevated blood-pressure reading without diagnosis of hypertension] -> [Current]",,
Association,Diagnostic,Proc context of,Procedure context of (SNOMED),"Links evidence, tests, variants, or clinical findings to support diagnostic reasoning. Example: [Recommended] -> [Hepatitis B immunization recommended]",,
Attribute,Context,Relat context of,Subject relationship context of (SNOMED),Specific situational modifier or contextual role. Example: [Spouse of subject] -> [Spouse unwell],,
Attribute,Temporal,Temporal context of,Temporal context of (SNOMED),"Qualifies clinical events by their timing, sequence, or duration. Example: [Current or past] -> [3.5 year examination not wanted]",,
Attribute,Measurement,Has Scale,Has Scale,"Defines metrics, scales, units, and quantitative properties of an observation. Example: [Oral Health] -> [In the course of your current illness or its treatment, not only the past week:]",,
Attribute,Measurement,Has unit,Has unit,"Defines metrics, scales, units, and quantitative properties of an observation. Example: [Cranial rhythmic impulse] -> [Cycles/minute]",,
Attribute,Measurement,Scale of,Scale of,"Defines metrics, scales, units, and quantitative properties of an observation. Example: [Doctor(s), Nurse(s), Psychologist(s), Radiotherapy technician(s), Other (please specify: _____________)] -> [QLQ-COMU26 Communication module]",,
Attribute,Measurement,Unit of,Unit of,"Defines metrics, scales, units, and quantitative properties of an observation. Example: [gram] -> [Tumor Weight]",,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Attribute,Pharmaceutical,Dose form of,Dose form of (SNOMED),Qualifies physical drug delivery properties or dose forms. Example: [Powder for oral and rectal suspension] -> [Calcium polystyrene sulfonate 999.34 mg/g powder for oral and rectal suspension],,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/pharmaceutical-and-biologic-product/index/index/pharmaceutical-dose-form-naming-and-modeling-conventions
Attribute,Pharmaceutical,Has dose form,Has dose form (SNOMED),Qualifies physical drug delivery properties or dose forms. Example: [Calcium oxybate 500 mg/mL and magnesium oxybate 500 mg/mL and potassium oxybate 500 mg/mL and sodium oxybate 500 mg/mL oral solution] -> [Oral solution],,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/pharmaceutical-and-biologic-product/index/index/pharmaceutical-dose-form-naming-and-modeling-conventions
Attribute,Procedural,Has route,Has route (DM+D),"Defines execution technicalities like route of administration, method, or device used. Example: [Brexucabtagene autoleucel] -> [Intravenous]",,
Attribute,Procedural,Has route of admin,Has route of administration (SNOMED),"Defines execution technicalities like route of administration, method, or device used. Example: [Intravitreal injection of anti-vascular endothelial growth factor] -> [Intravitreal]",,
Composition,Structural,Has strength,Has ingredient qualitative strength (SNOMED),Defines the inherent chemical constituents or dosage strength. Example: [Hepatitis B high dose recombinant surface antigen only vaccine product] -> [High dose],,
Attribute,Procedural,Route of,Route of (DM+D),"Defines execution technicalities like route of administration, method, or device used. Example: [Oral] -> [Levothyroxine sodium 100 microgram oral tablet]",,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Attribute,Procedural,Route of admin of,Route of administration of (SNOMED),"Defines execution technicalities like route of administration, method, or device used. Example: [Injectable] -> [Auto-Injector]",,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Composition,Structural,Strength of,Ingredient qualitative strength of (SNOMED),Defines the inherent chemical constituents or dosage strength. Example: [Low dose] -> [Acellular Bordetella pertussis and Clostridium tetani and low dose Corynebacterium diphtheriae and inactivated Human poliovirus antigens only vaccine product],,
Composition,Containment,Box of,Prepackaged box of (OMOP),Links items to their physical packaging or multi-item kit groupings. Example: [Calcium 0.0753 MG/MG / Charcoal 0.0753 MG/MG / Kaolin 0.04 MG/MG / Magnesium 0.005 MG/MG Oral Powder [Aruto] Box of 1] -> [Calcium 0.0753 MG/MG / Charcoal 0.0753 MG/MG / Kaolin 0.04 MG/MG / Magnesium 0.005 MG/MG Oral Powder [Aruto]],,
Composition,Physical,Contained in,Is contained in (RxNorm),Physical material assembly or structural part-whole relationship. Example: [Omeprazole 20 MG Extended Release Oral Capsule] -> [{28 (amoxicillin 500 MG Oral Capsule) / 14 (clarithromycin 500 MG Oral Tablet) / 14 (Omeprazole 20 MG Extended Release Oral Capsule) } Pack [Klacid]],Links contents to their parent Pack/Kit.,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
Composition,Physical,Contains,Contains (RxNorm),Physical material assembly or structural part-whole relationship. Example: [{24 (fexinidazole 600 MG Oral Tablet) } Pack] -> [fexinidazole 600 MG Oral Tablet],Links a Pack/Kit to its contents.,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
Composition,Containment,Is pack of,Is pack of (SNOMED),Links items to their physical packaging or multi-item kit groupings.,,
Composition,Physical,Meas component of,Measured Component of (SNOMED),Physical material assembly or structural part-whole relationship.,,
Composition,Physical,Panel contains,Panel contains,Physical material assembly or structural part-whole relationship. Example: [EORTC Quality of Life Questionnaire С30] -> [EORTC Quality of Life Questionnaire: Have you vomited during the past week?],,
Composition,Structural,Active ing of,Active ingredient of (SNOMED),Defines the inherent chemical constituents or dosage strength. Example: [Podophyllotoxin and/or podophyllotoxin derivative] -> [Podophyllotoxin and/or podophyllotoxin derivative-containing product],A medicinal product concept has a set of active ingredient substance(s) responsible for providing the therapeutic effect of the medicinal product and which are described using the clinically relevant part or whole of the substance that is intended to have a therapeutic action on or within the body,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/pharmaceutical-and-biologic-product/pharmaceutical-and-biologic-product-and-dose-form-attributes-summary/ingredient-substance-attributes#has-active-ingredient
Composition,Structural,Has active ing,Has active ingredient (SNOMED),Defines the inherent chemical constituents or dosage strength. Example: [Calcium oxybate- and magnesium oxybate- and potassium oxybate- and sodium oxybate-containing product] -> [Potassium oxybate],A medicinal product concept has a set of active ingredient substance(s) responsible for providing the therapeutic effect of the medicinal product and which are described using the clinically relevant part or whole of the substance that is intended to have a therapeutic action on or within the body,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/pharmaceutical-and-biologic-product/pharmaceutical-and-biologic-product-and-dose-form-attributes-summary/ingredient-substance-attributes#has-active-ingredient
Composition,Structural,Has prec ingredient,Has precise active ingredient (SNOMED),Defines the inherent chemical constituents or dosage strength. Example: [Calcium oxybate 500 mg/mL and magnesium oxybate 500 mg/mL and potassium oxybate 500 mg/mL and sodium oxybate 500 mg/mL oral solution] -> [Calcium oxybate],,
Composition,Structural,Has precise ing,Has precise ingredient (RxNorm),"Defines the inherent chemical constituents or dosage strength. Example: [immunoglobulin G, human 150 MG/ML] -> [immunoglobulin G, human]",Precise version of the ingredient link (e.g. base vs salt).,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
Composition,Structural,Has spec active ing,Has specific active ingredient (SNOMED),Defines the inherent chemical constituents or dosage strength. Example: [Darunavir 600 mg oral tablet] -> [Darunavir ethanolate],,
Composition,Structural,Has standard ing,Has standard ingredient (OMOP),Defines the inherent chemical constituents or dosage strength.,,
Composition,Structural,Is standard ing of,Is standard ingredient of ingredient (OMOP),Defines the inherent chemical constituents or dosage strength.,,
Composition,Structural,NDFRT has ing,Has ingredient (NDF-RT),"Defines the inherent chemical constituents or dosage strength. Example: [HYDROGEN PEROXIDE 3% SPRAY,TOP] -> [Hydrogen Peroxide]",,
Composition,Structural,NDFRT ing of,Ingredient of (NDF-RT),Defines the inherent chemical constituents or dosage strength. Example: [Salmeterol Xinafoate] -> [SALMETEROL XINAFOATE],,
Composition,Structural,Prec ingredient of,Precise active ingredient of (SNOMED),Defines the inherent chemical constituents or dosage strength. Example: [Cabotegravir] -> [Cabotegravir 200 mg/mL prolonged-release suspension for injection],,
Composition,Structural,Precise ing of,Precise ingredient of (RxNorm),"Defines the inherent chemical constituents or dosage strength. Example: [tetanus immune globulin, human] -> [tetanus immune globulin, human 250 UNT/ML]",,
Composition,Structural,RxNorm has ing,Has ingredient (RxNorm),Defines the inherent chemical constituents or dosage strength. Example: [hepatitis B immune globulin 217 UNT/ML] -> [hepatitis B immune globulin],Links a drug concept to its constituent active ingredient(s).,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
Composition,Structural,RxNorm ing of,Ingredient of (RxNorm),Defines the inherent chemical constituents or dosage strength. Example: [Umifenovir] -> [Umifenovir Oral Granules],Links an ingredient to its containing drug concepts.,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
Composition,Structural,Spec active ing of,Specific active ingredient of (SNOMED),Defines the inherent chemical constituents or dosage strength. Example: [Darunavir ethanolate] -> [Darunavir 600 mg oral tablet],,
Composition,Physical,Component of,Component of,Physical material assembly or structural part-whole relationship. Example: [Malignant teratoma] -> [Percent of malignant teratoma in primary malignant mixed germ cell tumor of testis],,
Composition,Physical,Has component,Has component,Physical material assembly or structural part-whole relationship. Example: [Abnormal lymphocyte count] -> [Lymphocyte],,
Hierarchy,Categorical – up,Category of,Category of,Assigns a concept to a high-level grouping or classification chapter. Example: [Abdominal composition] -> [Weight-to-muscle ratio],,
Hierarchy,Categorical – up,Drug class of drug,Drug class of drug (OMOP),Assigns a concept to a high-level grouping or classification chapter. Example: [propylene glycol] -> [Propylene glycol Topical Solution],,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
Hierarchy,Categorical – up,Therap class of,Therapeutic class of (NDF),Assigns a concept to a high-level grouping or classification chapter. Example: [Antihelminthic Agent] -> [ALBENDAZOLE],,
Hierarchy,Categorical – up,membership inference,Drug has drug class (OMOP),Assigns a concept to a high-level grouping or classification chapter.,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
Hierarchy,Categorical – up,membership inference,Has Category,Assigns a concept to a high-level grouping or classification chapter.,,
Hierarchy,Categorical – up,membership inference,Has therapeutic class (NDF),Assigns a concept to a high-level grouping or classification chapter.,,
Hierarchy,Taxonomic – down,RxNorm inverse is a,Inverse is a (RxNorm),Refinement from a broad parent to a specific child. Example: [AESCULUS HIPPOCASTANUM SEED OIL / cupric acetate / Epinephrine / Ergot Alkaloids / Helleborus niger whole extract / Potentilla anserina whole extract / tobacco leaf extract Oral Solution] -> [AESCULUS HIPPOCASTANUM SEED OIL 2 X / cupric acetate 6 X / Epinephrine 6 X / Ergot Alkaloids 4 X / Helleborus niger whole extract 6 X / Potentilla anserina whole extract 2 X / tobacco leaf extract 4 X Oral Solution],,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
Hierarchy,Taxonomic – down,Subsumes,Subsumes,Refinement from a broad parent to a specific child. Example: [Medicare] -> [Medicare Hospice],,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Hierarchy,Taxonomic – up,Is a,Is a,Inheritance link generalizing to a broader parent. Example: [Medicare Managed Care] -> [Medicare],,
Hierarchy,Taxonomic – up,RxNorm is a,Is a (RxNorm),Inheritance link generalizing to a broader parent. Example: [hepatitis B immune globulin 200 UNT/ML Injectable Solution] -> [hepatitis B immune globulin Injectable Solution],,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
Identity,Exact equivalence,Concept same_as from,Active same_as inactive (SNOMED),Direct semantic identity or mapping rule across different vocabularies.,,
Identity,Exact equivalence,Concept same_as to,Inactive same_as active (SNOMED),Direct semantic identity or mapping rule across different vocabularies.,,
Identity,Exact equivalence,CPT4 - CVX eq,CPT4 to CVX equivalent (CVX),"Explicitly tagged as equivalent, representing exact semantic identity.",,
Identity,Exact equivalence,CPT4 - LOINC eq,CPT4 to LOINC equivalent (SNOMED),"Explicitly tagged as equivalent, representing exact semantic identity. Example: [Basic metabolic panel (Calcium, total) This panel must include the following: Calcium, total (82310) Carbon dioxide (bicarbonate) (82374) Chloride (82435) Creatinine (82565) Glucose (82947) Potassium (84132) Sodium (84295) Urea nitrogen (BUN) (84520)] -> [Basic metabolic 2000 panel - Serum or Plasma]",,
Identity,Exact equivalence,CPT4 - SNOMED eq,CPT-4 to SNOMED equivalent (OMOP),"Explicitly tagged as equivalent, representing exact semantic identity. Example: [Pelvic examination (List separately in addition to code for primary procedure)] -> [Manual pelvic examination]",,
Identity,Exact equivalence,CVX - CPT4 eq,CVX to CPT4 equivalent (CVX),"Explicitly tagged as equivalent, representing exact semantic identity.",,
Identity,Exact equivalence,DRG - MS-DRG eq,DRG to MS-DRG equivalent (CMS),"Explicitly tagged as equivalent, representing exact semantic identity.",,
Identity,Exact equivalence,ICD9P - SNOMED eq,ICD-9-Procedure to SNOMED equivalent (OMOP),"Explicitly tagged as equivalent, representing exact semantic identity.",,
Identity,Exact equivalence,ICDO to OncoTree eq,ICDO to OncoTree equivalent,"Explicitly tagged as equivalent, representing exact semantic identity. Example: [Clear cell borderline tumor of ovary] -> [Clear Cell Borderline Ovarian Tumor (CCBOV)]",,
Identity,Exact equivalence,LOINC - CPT4 eq,LOINC to CPT4 equivalent (SNOMED),"Explicitly tagged as equivalent, representing exact semantic identity. Example: [Asparagus IgE Ab [Units/volume] in Serum] -> [Allergen specific IgE; quantitative or semiquantitative, crude allergen extract, each]",,
Identity,Exact equivalence,LOINC - SNOMED eq,LOINC Hierarchy to SNOMED equivalent (LOINC),"Explicitly tagged as equivalent, representing exact semantic identity.",,
Identity,Exact equivalence,MedDRA - SNOMED eq,MedDRA to SNOMED equivalent (OMOP),"Explicitly tagged as equivalent, representing exact semantic identity.",,
Identity,Exact equivalence,MS-DRG - DRG eq,MS-DRG to DRG equivalent (CMS),"Explicitly tagged as equivalent, representing exact semantic identity.",,
Identity,Exact equivalence,NDFRT - RxNorm eq,NDF-RT to RxNorm equivalent (RxNorm),"Explicitly tagged as equivalent, representing exact semantic identity. Example: [Vaginal Film] -> [Vaginal Film]",,
Identity,Exact equivalence,NDFRT - SNOMED eq,NDF-RT to SNOMED equivalent (RxNorm),"Explicitly tagged as equivalent, representing exact semantic identity. Example: [Antigens, CD99] -> [Lymphocyte antigen CD99]",,
